Clean data CS105 Winter'26 Mini-Project Survey (Responses) Timestamp,"What class are you filling out this survey for? Check all that apply. If none of the listed options apply, select ""Other"" and enter your class name (for example, CS105).",What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What is your current cumulative GPA?,What is your age? Answer with a number only.,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,"How many hours of sleep on average do you get? Select a answer for each of the following situations:
 [During finals week:]","Over the past 2 weeks, how often have you felt mentally overwhelmed or stressed
1. Never
2. Almost Never
3. Sometimes
4. Somewhat frequently
5. E5day",Please indicate how much you agree with the following statements regarding the current job market in your major.  (Each row should have one answer) [I feel optimistic about my career prospects in this field],"Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [In-person lectures]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well How 4 are you able to concentrate during each of the following:
 [In-person discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Online lectures or discussions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Small study group sessions]","Scale: 1 very poorly, 2 poorly, 3 neutral, 4 well,5 very well  How 4 are you able to concentrate during each of the following:
 [Exams]",How many coding languages would you say you’re proficient in?,What was the first programming language you learned?,"Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Final project instead of exam]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Easy exams]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Friendly professor]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Accessible office hours]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Low workload]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [No required attendence]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Interested in material]","Think about your favorite course (4 units). Why was it your favorite course? Rank the following reasons.
 [Prepares for future job]",What class(es) do you think prepared you most for the career field you want to pursue? CS courses,What class(es) do you think prepared you most for the career field you want to pursue? ENGINEERING,What class(es) do you think prepared you most for the career field you want to pursue? DS courses,What class(es) do you think prepared you most for the career field you want to pursue? Humanities,Think about your time at UCR. Which week during the quarter do you: [Start feeling burnout],Think about your time at UCR. Which week during the quarter do you: [Have sleep deprivation],Think about your time at UCR. Which week during the quarter do you: [Start feeling less confident in the material],Think about your time at UCR. Which week during the quarter do you: [Start feeling more confident in the material],Think about your time at UCR. Which week during the quarter do you: [Study the most],Think about your time at UCR. Which week during the quarter do you: [Enjoy the most],"Choose the resources that has been most helpful in your success in your favorite course. Choose all that apply.
","How confidently can you explain the following concepts to someone who hasn’t taken it? 
   FOR CS MAJORS/MINORS: Pointers, if/else statements, for/while loops
   FOR DS MAJORS/MINORS: numpy, pandas, matplotlib, hypothesis testing"
2/3/2026 14:27:10,CS010A,Freshman,No,CSBA major,3.67 – 4.0,19,Hispanic or Latino,Female,First Generation Student,4-5 hours,4,Agree (4),4,3,2,4,4,1,Python,1 (Not a good reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),2 (5 small reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),CS010A,,,,Week 4,Week 6,Week 5,Week 7,Week 9,Week 1,"Study groups, Personal tutoring",7
2/3/2026 14:29:02,CS111,Junior,Yes,CEN or EE major,3.67 – 4.0,21,White,Female,Other,Less than 4,5,Disagree (2),2,3,3,4,4,6,C++/C,1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),N/A,N/A,N/A,N/A,Week 3,Week 5,Week 4,Week 7,Week 8,Week 2,"Office hours, Study groups, ULA services",10
2/3/2026 14:30:57,CS111,Junior,Yes,CS major,3.67 – 4.0,22,White,Male,Other,4-5 hours,5,3 (3),2,2,4,4,4,2,C#,4 (Good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),2 (5 small reason),1 (Not a good reason),5 (5 good reason),4 (Good reason),CS10C,,,,Week 3,Week 3,Week 3,Week 6,Week 5,Week 6,"AI tools, Slack communication",8
2/3/2026 14:38:50,CS010A,Freshman,No,CEN or EE major,2.0 – 2.33,18,Hispanic or Latino,Male,First Generation Student,4-5 hours,4,3 (3),5,4,3,4,4,,C++/C,4 (Good reason),4 (Good reason),2 (5 small reason),3 (Moderate reason),3 (Moderate reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),N/A,N/A,N/A,N/A,Week 6,Week 9,Week 9,Week 3,Week 5,Week 1,"AI tools, ULA services",6
2/3/2026 14:40:02,CS010A,Freshman,No,CS major,3.33 – 3.67,17,Asian,Male,International Student,4-5 hours,3,Agree (4),4,3,3,5,4,3,Java,2 (5 small reason),4 (Good reason),4 (Good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),"CS163, CS165",,,,Week 3,Week 4,Week 5,Week 6,Week 8,Week 1,"AI tools, Study groups",10
2/3/2026 14:41:06,CS111,Junior,Yes,CS major,3.33 – 3.67,21,Asian,Male,Second Generation Student,4-5 hours,2,Strongly Agree (5),3,3,2,2,5,3,HTML & CSS,2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),N/A,N/A,N/A,N/A,Week 8,Week 8,Week 8,Week 8,Week 8,Week 8,"Office hours, AI tools, Slack communication, Study groups",10
2/3/2026 14:51:28,CS111,Junior,No,Data Science major,Prefer not to say,20,"Asian, Hispanic or Latino",Male,Other,6-7 hours,3,3 (3),3,3,3,3,3,1,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS100,,,,Week 5,Week 5,Week 5,Week 5,Week 5,Week 5,Study groups,6
2/3/2026 14:57:25,CS010A,Freshman,No,CEN or EE major,Prefer not to say,18,Prefer not to say,Female,First Generation Student,6-7 hours,3,Agree (4),4,4,2,3,4,1,C++/C,1 (Not a good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),CS010A,,,ENGR101,Week 9,Week 9,Week 5,Week 5,Week 9,Week 9,"AI tools, Study groups",7
2/3/2026 15:16:31,CS010A,Freshman,No,CS major,3.67 – 4.0,18,Hispanic or Latino,Male,First Generation Student,8-9 hours,1,Agree (4),4,4,4,4,4,0,C++/C,1 (Not a good reason),1 (Not a good reason),2 (5 small reason),1 (Not a good reason),4 (Good reason),3 (Moderate reason),2 (5 small reason),3 (Moderate reason),CS010A,,,,Week 4,Week 4,Week 5,Week 3,Week 5,Week 3,"AI tools, Personal tutoring",5
2/3/2026 15:18:11,CS010A,Freshman,No,CEN or EE major,2.67 – 3.0,18,Hispanic or Latino,Male,First Generation Student,6-7 hours,1,3 (3),5,4,3,4,4,1,Python,4 (Good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),,EE010,,,Week 5,Week 9,Week 6,Week 6,Week 3,Week 9,"AI tools, Study groups",9
2/3/2026 15:42:12,CS010A,Sophomore,No,Mathematics major,3.67 – 4.0,19,Hispanic or Latino,Female,First Generation Student,6-7 hours,4,Strongly Agree (5),4,1,1,4,4,0,C++/C,1 (Not a good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),,,,"MATH 09B, MATH 010A, MATH 010B",Week 7,Week 5,Week 7,Week 1,Week 8,Week 1,"AI tools, Slack communication",4
2/3/2026 15:43:12,CS111,Junior,Yes,CS major,3.67 – 4.0,20,Asian,Male,Second Generation Student,6-7 hours,3,Strongly Disagree (1),4,4,4,4,4,2,HTML & CSS,1 (Not a good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),2 (5 small reason),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Week 5,N/A,N/A,1
2/3/2026 15:44:45,CS010A,Sophomore,No,Mathematics major,3.33 – 3.67,19,Asian,Male,First Generation Student,4-5 hours,4,Agree (4),3,1,1,4,4,0,C++/C,1 (Not a good reason),4 (Good reason),5 (5 good reason),4 (Good reason),4 (Good reason),4 (Good reason),5 (5 good reason),4 (Good reason),,,,EDUC003,Week 7,Week 3,Week 6,Week 9,Week 9,Week 9,AI tools,5
2/3/2026 16:03:08,CS010A,Freshman,No,CSBA major,3.33 – 3.67,18,Hispanic or Latino,Female,First Generation Student,6-7 hours,3,3 (3),4,4,4,4,4,4,HTML & CSS,3 (Moderate reason),5 (5 good reason),5 (5 good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),CS010A,,,ENGR101,Week 4,Week 5,Week 5,Week 2,Week 9,Week 1,"Office hours, AI tools",7
2/3/2026 16:12:06,CS010A,Freshman,No,CS major,2.67 – 3.0,19,Hispanic or Latino,Female,First Generation Student,4-5 hours,5,Agree (4),4,4,5,3,3,2,Python,5 (5 good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),5 (5 good reason),2 (5 small reason),5 (5 good reason),3 (Moderate reason),CS010A,,,,Week 7,Week 8,Week 4,Week 8,Week 5,Week 1,"Office hours, Study groups, Personal tutoring",7
2/3/2026 16:47:56,CS111,Junior,Yes,CS major,3.67 – 4.0,20,White,Male,Other,6-7 hours,4,3 (3),4,4,2,3,4,3,C++/C,4 (Good reason),4 (Good reason),5 (5 good reason),4 (Good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 9,Week 9,Week 9,Week 3,Week 9,Week 1,Study groups,10
2/3/2026 17:03:08,"CS105, CS111",Senior,No,CSBA major,2.33 – 2.67,21,White,Male,First Generation Student,4-5 hours,4,Disagree (2),4,4,5,5,4,2,Python,4 (Good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),2 (5 small reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 3,Week 5,Week 4,Week 6,Week 8,Week 2,"Office hours, Study groups, ULA services",9
2/3/2026 17:44:10,CS010A,Freshman,No,CEN or EE major,3.0 – 3.33,18,Hispanic or Latino,Female,First Generation Student,8+ hours,3,Disagree (2),3,3,3,3,5,1,C++/C,3 (Moderate reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),2 (5 small reason),N/A,N/A,N/A,N/A,Week 4,Week 9,Week 9,Week 3,Week 4,Week 1,N/A,8
2/3/2026 18:02:24,CS111,Junior,No,Data Science major,3.33 – 3.67,20,Hispanic or Latino,Male,First Generation Student,4-5 hours,3,Agree (4),3,2,3,4,5,2,C++/C,4 (Good reason),2 (5 small reason),4 (Good reason),4 (Good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS105,,,,Week 5,Week 5,Week 5,Week 7,Week 9,Week 1,"Office hours, AI tools, Slack communication",7
2/3/2026 18:29:22,CS111,Junior,Yes,CS major,3.33 – 3.67,21,Hispanic or Latino,Male,First Generation Student,4-5 hours,4,Agree (4),4,4,3,4,4,2,C++/C,3 (Moderate reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),5 (5 good reason),5 (5 good reason),,,STAT155,,Week 5,Week 6,Week 4,Week 3,Week 7,Week 1,Personal tutoring,7
2/3/2026 18:34:20,CS010A,Freshman,No,Robotics,Prefer not to say,18,Asian,Female,First Generation Student,4-5 hours,4,Agree (4),4,5,3,4,3,2,HTML & CSS,4 (Good reason),5 (5 good reason),5 (5 good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),CS010A,,,MATH009B,Week 6,Week 6,Week 7,Week 3,Week 4,Week 1,"Office hours, AI tools, Personal tutoring",
2/3/2026 18:39:29,CS105,Senior,Yes,CS major,3.0 – 3.33,22,White,Male,Other,6-7 hours,5,3 (3),3,4,4,4,4,0,C++/C,4 (Good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 3,Week 3,Week 3,Week 7,Week 9,Week 1,"Office hours, Slack communication, Study groups",7
2/3/2026 19:24:55,"CS105, CS111",Junior,No,CEN or EE major,3.33 – 3.67,21,Asian,Male,"First Generation Student, International Student",8-9 hours,4,3 (3),4,4,3,3,4,3,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS111,,,,Week 4,Week 3,Week 4,Week 4,Week 6,Week 7,"Slack communication, Study groups, Personal tutoring",7
2/3/2026 19:39:46,CS105,Freshman,No,CSBA major,3.67 – 4.0,18,Asian,Male,Second Generation Student,4-5 hours,4,Agree (4),4,3,3,4,2,0,Java,5 (5 good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),4 (Good reason),CS010A,,,,Week 5,Week 5,Week 4,Week 3,Week 8,Week 1,Study groups,5
2/3/2026 20:07:41,CS105,Junior,No,CS major,3.33 – 3.67,19,Hispanic or Latino,Male,Other,6-7 hours,3,Agree (4),3,2,2,4,4,2,Javascript,3 (Moderate reason),5 (5 good reason),4 (Good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),4 (Good reason),4 (Good reason),"CS010C, CS100",,,,Week 5,Week 8,Week 5,Week 8,Week 9,Week 1,"AI tools, Slack communication, Study groups",10
2/3/2026 20:13:59,CS010A,Freshman,No,CEN or EE major,3.33 – 3.67,18,Hispanic or Latino,Female,First Generation Student,4-5 hours,5,Disagree (2),3,1,3,4,1,2,C++/C,1 (Not a good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),3 (Moderate reason),1 (Not a good reason),2 (5 small reason),1 (Not a good reason),CS010A,,,,Week 4,Week 3,Week 4,Week 3,Week 6,Week 1,"Office hours, Study groups",5
2/3/2026 20:50:51,CS111,Junior,Yes,CS major,3.67 – 4.0,25,White,Male,First Generation Student,4-5 hours,5,Strongly Disagree (1),3,3,3,4,4,1,Javascript,3 (Moderate reason),3 (Moderate reason),5 (5 good reason),2 (5 small reason),4 (Good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 5,Week 2,Week 3,Week 1,Week 5,Week 1,"Office hours, AI tools",9
2/3/2026 20:50:58,CS010A,Freshman,No,CEN or EE major,3.33 – 3.67,18,Asian,Male,International Student,8+ hours,5,Strongly Agree (5),2,4,1,5,3,0,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS010A,,,,Week 9,Week 9,Week 9,Week 1,Week 9,Week 9,"Office hours, AI tools, Slack communication, Study groups, Personal tutoring, ULA services",1
2/3/2026 20:51:22,CS010A,Freshman,No,Mathematics major,3.67 – 4.0,19,Asian,Male,Second Generation Student,6-7 hours,3,3 (3),4,4,4,4,4,0,Java,1 (Not a good reason),2 (5 small reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),,,,MATH009B,Week 6,Week 1,Week 9,Week 9,Week 9,Week 5,Study groups,7
2/3/2026 21:01:17,CS010A,Freshman,No,CEN or EE major,3.33 – 3.67,22,Hispanic or Latino,Male,First Generation Student,Less than 4,3,3 (3),3,4,4,3,3,0,none ,4 (Good reason),4 (Good reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 5,Week 5,Week 6,Week 5,Week 4,Week 6,Personal tutoring,8
2/3/2026 21:05:29,CS111,Junior,Yes,CS major,3.0 – 3.33,22,White,Male,Second Generation Student,4-5 hours,5,Disagree (2),2,2,1,4,4,2,Javascript,1 (Not a good reason),5 (5 good reason),5 (5 good reason),2 (5 small reason),4 (Good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),CS100,,,,Week 2,Week 9,Week 2,Week 5,Week 8,Week 1,"Office hours, AI tools, Personal tutoring",8
2/3/2026 21:15:55,CS111,Junior,Yes,CS major,3.67 – 4.0,21,White,Male,Second Generation Student,,5,3 (3),1,4,1,2,3,2,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 5,Week 5,Week 5,Week 5,Week 5,Week 5,"Office hours, ULA services",5
2/3/2026 21:20:47,CS010A,Sophomore,No,Data Science major,3.0 – 3.33,20,Asian,Male,First Generation Student,6-7 hours,3,3 (3),5,4,2,5,5,1,C++/C,1 (Not a good reason),3 (Moderate reason),4 (Good reason),1 (Not a good reason),3 (Moderate reason),1 (Not a good reason),5 (5 good reason),2 (5 small reason),N/A,N/A,N/A,N/A,Week 6,Week 7,Week 5,Week 2,Week 5,Week 1,Study groups,4
2/3/2026 21:39:11,CS111,Junior,Yes,CS major,3.33 – 3.67,23,"Asian, White",Male,Second Generation Student,6-7 hours,5,3 (3),2,3,4,4,1,1,Python,5 (5 good reason),2 (5 small reason),5 (5 good reason),2 (5 small reason),4 (Good reason),2 (5 small reason),3 (Moderate reason),1 (Not a good reason),CS100,,,,Week 3,Week 2,Week 3,Week 6,Week 4,Week 1,"AI tools, ULA services",8
2/3/2026 21:46:56,CS111,Sophomore,No,CS or DS minor,3.67 – 4.0,19,Asian,Male,Second Generation Student,6-7 hours,2,Agree (4),3,3,3,3,4,3,Python,3 (Moderate reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),,CHEM008B,,,Week 5,Week 8,Week 2,Week 8,Week 8,Week 1,"Office hours, Study groups, Personal tutoring",10
2/3/2026 22:16:00,CS105,Freshman,No,CSBA major,Prefer not to say,19,Asian,Male,Other,Less than 4,5,Agree (4),4,4,4,4,3,1,,4 (Good reason),5 (5 good reason),4 (Good reason),4 (Good reason),4 (Good reason),5 (5 good reason),4 (Good reason),5 (5 good reason),CS010A,,,,Week 6,Week 6,Week 6,Week 6,Week 6,Week 6,AI tools,7
2/3/2026 22:22:01,CS010A,Freshman,No,Mathematics major,2.67 – 3.0,18,Hispanic or Latino,Male,First Generation Student,6-7 hours,3,3 (3),4,4,3,3,4,1,C++/C,2 (5 small reason),4 (Good reason),4 (Good reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),4 (Good reason),4 (Good reason),,,,MATH010B,Week 8,Week 9,Week 7,Week 4,Week 8,Week 1,"Office hours, AI tools",7
2/3/2026 22:29:22,CS010A,Freshman,No,CS major,2.67 – 3.0,18,Hispanic or Latino,Male,First Generation Student,4-5 hours,5,3 (3),3,3,3,4,3,1,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),CS010A,,,,Week 4,Week 5,Week 4,Week 1,Week 9,Week 1,"AI tools, Study groups",6
2/3/2026 22:33:58,CS010A,Freshman,No,CEN or EE major,3.67 – 4.0,19,"Asian, White",Female,Other,Less than 4,5,Strongly Disagree (1),3,3,1,2,3,3,Java,4 (Good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),N/A,N/A,N/A,N/A,Week 4,Week 1,Week 4,Week 1,Week 9,Week 1,"AI tools, Personal tutoring",8
2/3/2026 22:39:46,CS010A,Freshman,No,CEN or EE major,3.67 – 4.0,19,Prefer not to say,Male,First Generation Student,4-5 hours,3,3 (3),4,3,3,3,3,0,Java,1 (Not a good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),5 (5 good reason),5 (5 good reason),,EE010,,MATH010B,Week 4,Week 8,Week 4,Week 2,Week 5,Week 9,AI tools,5
2/3/2026 22:47:20,CS111,Junior,Yes,CS major,3.67 – 4.0,20,Asian,Male,First Generation Student,8-9 hours,3,3 (3),3,3,3,3,3,1,C++/C,1 (Not a good reason),3 (Moderate reason),4 (Good reason),4 (Good reason),3 (Moderate reason),1 (Not a good reason),4 (Good reason),4 (Good reason),CS100,,,,Week 3,Week 6,Week 3,Week 2,Week 4,Week 1,Office hours,7
2/3/2026 22:58:03,"CS105, CS111",Sophomore,No,Data Science major,3.33 – 3.67,19,Asian,Male,Other,4-5 hours,3,Disagree (2),4,4,2,5,5,3,Java,1 (Not a good reason),1 (Not a good reason),5 (5 good reason),1 (Not a good reason),1 (Not a good reason),1 (Not a good reason),4 (Good reason),5 (5 good reason),"CS105, CS010C",,,,Week 3,Week 9,Week 3,Week 8,N/A,Week 1,"Office hours, AI tools, Study groups",5
2/3/2026 23:27:16,CS010A,Freshman,No,CSBA major,3.0 – 3.33,19,Asian,Male,"Second Generation Student, International Student",8-9 hours,3,3 (3),3,4,4,4,4,0,Python,4 (Good reason),4 (Good reason),4 (Good reason),3 (Moderate reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS105,,,,Week 7,Week 9,Week 9,N/A,Week 9,Week 1,"Office hours, Personal tutoring",6
2/4/2026 0:57:38,CS010A,Freshman,No,CEN or EE major,Prefer not to say,18,Asian,Male,Second Generation Student,6-7 hours,1,3 (3),3,3,3,3,3,0,Java,2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),2 (5 small reason),N/A,N/A,N/A,N/A,Week 3,Week 2,Week 3,Week 3,Week 3,Week 1,AI tools,3
2/4/2026 1:01:07,CS010A,Freshman,No,CEN or EE major,2.67 – 3.0,19,"Asian, White, Hispanic or Latino, Black",Male,First Generation Student,6-7 hours,4,3 (3),4,4,3,4,2,0,Java,3 (Moderate reason),4 (Good reason),4 (Good reason),4 (Good reason),4 (Good reason),1 (Not a good reason),4 (Good reason),4 (Good reason),"CS010A,CS005",,,ENGR101,Week 5,Week 5,Week 5,Week 2,Week 5,Week 7,"Office hours, AI tools, Study groups, Personal tutoring",5
2/4/2026 9:53:44,CS010A,Freshman,No,CEN or EE major,2.0 – 2.33,18,"Hispanic or Latino, Black",Male,First Generation Student,8-9 hours,4,Agree (4),5,4,1,4,5,1,Javascript,3 (Moderate reason),4 (Good reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),1 (Not a good reason),5 (5 good reason),4 (Good reason),,,,ENGR 101,Week 6,Week 5,Week 7,Week 1,Week 8,Week 3,"Office hours, Study groups, Personal tutoring, ULA services",9
2/4/2026 10:21:41,CS105,Senior,No,CS major,3.33 – 3.67,20,Asian,Male,Other,6-7 hours,3,Agree (4),4,4,4,3,4,2,Python,1 (Not a good reason),5 (5 good reason),4 (Good reason),4 (Good reason),5 (5 good reason),1 (Not a good reason),3 (Moderate reason),3 (Moderate reason),"CS100, CS180",,,,Week 8,Week 8,Week 5,Week 8,Week 9,Week 1,"Office hours, AI tools, Slack communication",7
2/4/2026 11:01:54,CS105,Sophomore,No,Mathematics major,3.0 – 3.33,20,Asian,Male,First Generation Student,8-9 hours,3,,4,4,4,4,3,0,C++/C,3 (Moderate reason),4 (Good reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),4 (Good reason),4 (Good reason),,,,MATH009A MATH009B,Week 6,Week 6,Week 7,Week 9,Week 9,Week 1,"Office hours, AI tools, Study groups",1
2/4/2026 11:10:52,CS111,Junior,No,CEN or EE major,3.0 – 3.33,21,Hispanic or Latino,Male,First Generation Student,6-7 hours,3,Agree (4),3,3,3,4,3,1,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS141,,,,Week 5,Week 7,Week 5,Week 5,Week 5,Week 5,"AI tools, Personal tutoring",6
2/4/2026 11:31:48,CS105,Senior,No,CS or DS minor,3.33 – 3.67,21,Hispanic or Latino,Male,Second Generation Student,6-7 hours,4,3 (3),5,5,4,3,3,1,Javascript,1 (Not a good reason),3 (Moderate reason),5 (5 good reason),4 (Good reason),4 (Good reason),2 (5 small reason),5 (5 good reason),2 (5 small reason),N/A,N/A,N/A,N/A,Week 8,Week 5,Week 3,Week 5,Week 5,Week 7,Office hours,9
2/4/2026 11:39:52,CS111,Junior,Yes,CS major,3.67 – 4.0,20,"Asian, Native Hawaiian or Other Pacific Islander",Male,Second Generation Student,Less than 4,4,Disagree (2),1,1,4,4,4,3,C++/C,5 (5 good reason),5 (5 good reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),5 (5 good reason),5 (5 good reason),5 (5 good reason),CS100,,,,Week 3,Week 4,Week 2,Week 4,Week 6,Week 9,"Office hours, ULA services",10
2/4/2026 11:46:54,CS105,Senior,No,CS major,3.67 – 4.0,21,Hispanic or Latino,Male,First Generation Student,6-7 hours,5,Disagree (2),3,3,3,3,4,1,C++/C,3 (Moderate reason),2 (5 small reason),4 (Good reason),2 (5 small reason),3 (Moderate reason),2 (5 small reason),4 (Good reason),3 (Moderate reason),CS170,,,,Week 4,Week 5,Week 5,Week 2,Week 7,Week 1,"Office hours, AI tools, Study groups",7
2/4/2026 11:48:04,CS010A,Junior,No,Mathematics major,2.67 – 3.0,20,Hispanic or Latino,Male,Second Generation Student,4-5 hours,4,Strongly Agree (5),4,4,2,5,4,0,C++/C,1 (Not a good reason),3 (Moderate reason),4 (Good reason),1 (Not a good reason),2 (5 small reason),5 (5 good reason),4 (Good reason),3 (Moderate reason),N/A,N/A,N/A,N/A,Week 6,Week 4,Week 7,Week 3,Week 9,Week 9,Study groups,1
2/4/2026 11:55:51,CS010A,Freshman,No,CEN or EE major,3.0 – 3.33,18,Asian,Male,Other,6-7 hours,3,3 (3),3,3,3,3,3,1,C++/C,3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),3 (Moderate reason),CS010A,,,,Week 6,Week 6,Week 6,Week 6,Week 6,Week 6,"Office hours, AI tools, Study groups",5
2/4/2026 12:11:30,CS010A,Sophomore,No,Mathematics major,2.67 – 3.0,20,White,Male,Second Generation Student,8-9 hours,1,3 (3),4,4,3,4,5,0,C++/C,1 (Not a good reason),4 (Good reason),5 (5 good reason),3 (Moderate reason),3 (Moderate reason),1 (Not a good reason),4 (Good reason),1 (Not a good reason),,,,MATH009B,Week 5,Week 1,Week 5,Week 2,Week 9,Week 3,AI tools,2
2/4/2026 12:12:46,CS111,Junior,No,CS major,3.67 – 4.0,16,Asian,Male,Other,8-9 hours,4,Strongly Agree (5),4,2,3,5,5,10,Javascript,1 (Not a good reason),2 (5 small reason),5 (5 good reason),5 (5 good reason),1 (Not a good reason),2 (5 small reason),5 (5 good reason),3 (Moderate reason),"CS224, CS265A",,,,Week 5,Week 4,Week 4,Week 5,Week 8,Week 7,"Office hours, AI tools, Study groups",10
